iter	Logloss
0	0.5334641353
1	0.4258586128
2	0.3565921297
3	0.309884935
4	0.2773620738
5	0.255770539
6	0.2373038679
7	0.2258743202
8	0.2159059358
9	0.2082649885
10	0.2026017822
11	0.1964215787
12	0.1918362081
13	0.1874576427
14	0.1836578592
15	0.1805276062
16	0.1784146206
17	0.1764823705
18	0.1742057536
19	0.1722178915
20	0.1707128592
21	0.1694105798
22	0.1680927204
23	0.1665611018
24	0.1657945644
25	0.1647633816
26	0.1640476491
27	0.1628299794
28	0.1621896236
29	0.1614715636
30	0.1608680262
31	0.1603020715
32	0.1599040078
33	0.1594915004
34	0.1590428344
35	0.1585549026
36	0.1579222075
37	0.1575773962
38	0.1572710636
39	0.1568622959
40	0.1565301449
41	0.1562429747
42	0.1559525858
43	0.1556781966
44	0.1553331837
45	0.1551520791
46	0.1549154995
47	0.1547105097
48	0.1544769451
49	0.1543128434
50	0.1541322948
51	0.153931849
52	0.1536398148
53	0.1533384878
54	0.1532118221
55	0.1530938034
56	0.1529478063
57	0.1528275064
58	0.1526896917
59	0.1525938618
60	0.1524848218
61	0.1523255464
62	0.1521978027
63	0.1521186403
64	0.1520698238
65	0.1519721748
66	0.1518757999
67	0.1517868414
68	0.1516947616
69	0.1516021211
70	0.1515026777
71	0.1514182924
72	0.1513121227
73	0.1512377452
74	0.1511177039
75	0.1510512765
76	0.1509557844
77	0.1509047971
78	0.150811402
79	0.1507085345
80	0.1506410748
81	0.150585127
82	0.1505096733
83	0.150471465
84	0.1503944236
85	0.1503238765
86	0.1502815409
87	0.1502310588
88	0.1501808082
89	0.1500761244
90	0.1500056472
91	0.1499405676
92	0.1498792165
93	0.1498327242
94	0.1497774073
95	0.1497173694
96	0.1496737891
97	0.14960966
98	0.1495686611
99	0.1495251001
100	0.1494761361
101	0.1494413638
102	0.1493850758
103	0.1493683331
104	0.149294526
105	0.1492716207
106	0.1492053112
107	0.1491652111
108	0.1490707317
109	0.1490502925
110	0.14900498
111	0.148952625
112	0.1489135894
113	0.1488727604
114	0.1488386746
115	0.1487837674
116	0.1487111909
117	0.1486979748
118	0.1486569104
119	0.1486181584
120	0.1486076106
121	0.14860299
122	0.1485572278
123	0.1485012048
124	0.1484748558
125	0.1484461545
126	0.1484083322
127	0.1483770105
128	0.1483538019
129	0.148347892
130	0.148305033
131	0.1482600574
132	0.1482132929
133	0.1481707692
134	0.1481214196
135	0.1480847203
136	0.1480418025
137	0.148037878
138	0.1480090974
139	0.147973538
140	0.1479373034
141	0.1479012898
142	0.1478684643
143	0.1478040356
144	0.1477686281
145	0.1477177083
146	0.1476807118
147	0.1476773968
148	0.1476738579
149	0.1476406892
150	0.1476372735
151	0.1475964549
152	0.1475505849
153	0.1475132069
154	0.1474638499
155	0.1474240748
156	0.1473960874
157	0.1473931076
158	0.1473660805
159	0.1473344813
160	0.1472939476
161	0.1472529382
162	0.1472184464
163	0.1471817167
164	0.1471494026
165	0.1471089748
166	0.147071371
167	0.1470685128
168	0.1470265737
169	0.1470054421
170	0.1469777505
171	0.1469096325
172	0.1468758034
173	0.1468440921
174	0.146820249
175	0.1468177728
176	0.1467782454
177	0.1467429566
178	0.1467323209
179	0.146701847
180	0.1466783229
181	0.1466419384
182	0.1466036884
183	0.1465758581
184	0.1465394336
185	0.1465060872
186	0.146476241
187	0.1464499054
188	0.1464110407
189	0.1463826982
190	0.1463451043
191	0.1463128175
192	0.1462756807
193	0.1462573788
194	0.1462550936
195	0.1462357693
196	0.1462031619
197	0.1461684207
198	0.1461458912
199	0.1461234222
