number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_frequency,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
37,0.8432638421878502,2024-11-28 09:22:56.672791,2024-11-28 09:23:06.664363,0 days 00:00:09.991572,11,sqrt,0.09679302384322261,5,14,450,COMPLETE
38,0.8409773593364717,2024-11-28 09:23:06.666879,2024-11-28 09:23:18.962667,0 days 00:00:12.295788,13,log2,0.17746250083503087,20,15,600,COMPLETE
39,0.8433086751849361,2024-11-28 09:23:18.965847,2024-11-28 09:23:34.087360,0 days 00:00:15.121513,14,sqrt,0.07962544966837473,8,13,700,COMPLETE
40,0.8434431741761935,2024-11-28 09:23:34.089681,2024-11-28 09:23:44.826029,0 days 00:00:10.736348,13,log2,0.06137791075932439,2,8,500,COMPLETE
41,0.8435328401703653,2024-11-28 09:23:44.829533,2024-11-28 09:23:54.303900,0 days 00:00:09.474367,13,log2,0.01841164165333034,2,9,400,COMPLETE
42,0.8428603452140775,2024-11-28 09:23:54.306456,2024-11-28 09:24:00.495295,0 days 00:00:06.188839,14,log2,0.05202966880391041,3,10,300,COMPLETE
43,0.8425913472315625,2024-11-28 09:24:00.497831,2024-11-28 09:24:05.408255,0 days 00:00:04.910424,12,log2,0.014562323048152897,2,9,200,COMPLETE
44,0.8434431741761937,2024-11-28 09:24:05.409525,2024-11-28 09:24:12.999912,0 days 00:00:07.590387,11,log2,0.1291547904990119,4,7,350,COMPLETE
45,0.8369423895987447,2024-11-28 09:24:13.002401,2024-11-28 09:24:19.480910,0 days 00:00:06.478509,6,log2,0.04038411836153713,6,12,400,COMPLETE
46,0.8421430172607038,2024-11-28 09:24:19.483216,2024-11-28 09:24:21.685829,0 days 00:00:02.202613,13,log2,0.19416566531605844,15,6,100,COMPLETE
47,0.8435776731674511,2024-11-28 09:24:21.687044,2024-11-28 09:24:37.363506,0 days 00:00:15.676462,12,log2,0.16204690058947002,2,19,800,COMPLETE
48,0.8428155122169917,2024-11-28 09:24:37.367108,2024-11-28 09:24:51.524879,0 days 00:00:14.157771,10,log2,0.1642893279317969,9,10,800,COMPLETE
49,0.8426361802286483,2024-11-28 09:24:51.527407,2024-11-28 09:25:07.305768,0 days 00:00:15.778361,12,log2,0.3038834008222664,2,3,750,COMPLETE
50,0.8415601882985877,2024-11-28 09:25:07.308062,2024-11-28 09:25:23.820089,0 days 00:00:16.512027,9,log2,0.23428185073065516,5,17,950,COMPLETE
51,0.8422775162519613,2024-11-28 09:25:23.823039,2024-11-28 09:25:40.381636,0 days 00:00:16.558597,14,log2,0.2056107355634716,2,19,800,COMPLETE
52,0.8434880071732795,2024-11-28 09:25:40.385591,2024-11-28 09:25:54.552857,0 days 00:00:14.167266,13,log2,0.1576415541874595,1,16,650,COMPLETE
53,0.8433086751849361,2024-11-28 09:25:54.555603,2024-11-28 09:26:10.213136,0 days 00:00:15.657533,13,log2,0.1641702864130581,3,16,700,COMPLETE
54,0.8316072629455279,2024-11-28 09:26:10.215351,2024-11-28 09:26:17.589793,0 days 00:00:07.374442,4,log2,0.14042126032393337,1,14,650,COMPLETE
55,0.8433086751849362,2024-11-28 09:26:17.592618,2024-11-28 09:26:30.474177,0 days 00:00:12.881559,12,log2,0.37503463437721574,4,15,650,COMPLETE
56,0.843353508182022,2024-11-28 09:26:30.477638,2024-11-28 09:26:42.205520,0 days 00:00:11.727882,11,log2,0.19243331696242394,2,19,600,COMPLETE
57,0.8427258462228201,2024-11-28 09:26:42.208376,2024-11-28 09:26:59.638819,0 days 00:00:17.430443,13,log2,0.17883619336504372,3,17,850,COMPLETE
58,0.8426361802286483,2024-11-28 09:26:59.641389,2024-11-28 09:27:17.852208,0 days 00:00:18.210819,15,log2,0.2651064215674045,7,11,750,COMPLETE
59,0.8438018381528805,2024-11-28 09:27:17.854987,2024-11-28 09:27:30.853131,0 days 00:00:12.998144,12,log2,0.10971371798929294,1,13,550,COMPLETE
60,0.8425913472315625,2024-11-28 09:27:30.855942,2024-11-28 09:27:42.746912,0 days 00:00:11.890970,10,log2,0.0819177758527072,2,12,550,COMPLETE
61,0.8434431741761937,2024-11-28 09:27:42.751308,2024-11-28 09:27:59.048997,0 days 00:00:16.297689,12,log2,0.15679538758357023,1,13,700,COMPLETE
62,0.8427706792199059,2024-11-28 09:27:59.051286,2024-11-28 09:28:16.441319,0 days 00:00:17.390033,13,log2,0.11017654079750552,1,16,800,COMPLETE
63,0.8427706792199059,2024-11-28 09:28:16.443582,2024-11-28 09:28:34.062709,0 days 00:00:17.619127,14,log2,0.03383544411544233,3,18,750,COMPLETE
